rollNo,name,standard,section,gender,dob,address,phone,email,parentName,parentContact,vaccinated,vaccineName,vaccinationDate,operation
101,John Doe,10,A,Male,6/15/05,123 Elm St.,123-456-7890,john.doe@example.com,Jane Doe,987-654-3210,TRUE,COVID-19 Vaccine,2024-04-20,create
102,Sarah Lee,10,B,Female,3/22/06,456 Oak Rd.,987-654-3210,sarah.lee@example.com,David Lee,123-456-7890,FALSE,,,create
103,Mike Green,9,A,Male,12/1/07,789 Pine St.,654-321-0987,mike.green@example.com,Lily Green,234-567-8901,TRUE,covid3,2024-05-10,create
104,Emily Watson,9,C,Female,11/11/07,321 Birch Ln,321-654-9870,emily.watson@example.com,Mark Watson,543-210-9876,FALSE,,,create
105,Alex Smith,10,A,Male,7/30/05,654 Maple Dr,876-543-2109,alex.smith@example.com,Karen Smith,765-432-1098,TRUE,covid3,2024-03-15,create
106,Olivia Brown,10,B,Female,2/14/06,321 Cedar St,432-765-0987,olivia.brown@example.com,George Brown,987-321-6540,FALSE,,,create
107,Lucas White,9,A,Male,5/10/07,123 Willow Rd,654-987-3210,lucas.white@example.com,Alice White,876-543-2100,TRUE,COVID-19 Vaccine,2024-04-25,create
108,Mia Black,9,C,Female,9/30/07,456 Maple Dr,432-123-7890,mia.black@example.com,Robert Black,210-987-6543,FALSE,,,create
109,Liam Johnson,10,B,Male,10/18/06,789 Oak St.,210-876-5432,liam.johnson@example.com,Michelle Johnson,321-654-4321,TRUE,COVID-19 Vaccine,2024-05-05,create
110,Ava Davis,9,C,Female,1/25/07,654 Elm St.,543-210-9876,ava.davis@example.com,John Davis,654-321-9876,TRUE,covid3,2024-03-30,create
